"Name","birth_year","death_year","first_year","last_year","religion_id"
Wilson Burgess,NA,NA,1852,1852,1
Henry Burlingham,NA,NA,1861,1867,1
Jonathan Burtt,NA,NA,1847,1867,1
P Burtt,NA,NA,1861,1861,1
Edward North Buxton,NA,NA,1838,1855,1
James Cadbury,NA,NA,1838,1867,1
John M Candler,NA,NA,1839,1867,1
Edward Carroll,NA,NA,1865,1865,1
Joseph Cash,NA,NA,1863,1867,1
Newman Cash,NA,NA,1838,1838,1
William Cash,NA,NA,1839,1840,1
R D Catchpool,NA,NA,1860,1867,1
Thomas Catchpool,NA,NA,1838,1855,1
Thomas Chalk,NA,NA,1839,1840,1
Elizabeth Charelton,NA,NA,1861,1867,1
James Charleton,NA,NA,1839,1839,1
Robert Charleton,NA,NA,1856,1867,1
Richard Christy,NA,NA,1840,1866,1
Cyrus Clark,NA,NA,1861,1861,1
James Clark (2),NA,NA,1860,1866,1
Joseph Clark,NA,NA,1860,1866,1
W S Clark,NA,NA,1861,1866,1
George Cook,NA,NA,1866,1866,1
J H Cotterell,NA,NA,1862,1862,1
Elliott Cresson,NA,NA,1839,1852,1
W D Crewdson,NA,NA,1838,1840,1
Ann Cropper,NA,NA,1861,1867,1
James Cropper,NA,NA,1866,1867,1
John Cropper,NA,NA,1866,1867,1
Joseph Crosfield,NA,NA,1861,1867,1
William Crosfield,NA,NA,1861,1864,1
Jeremiah Cross,NA,NA,1861,1866,1
Martha Cross,NA,NA,1860,1860,1
Edward A Crouch,NA,NA,1857,1860,1
Abraham Crowley,NA,NA,1851,1855,1
Frederick Crowley,NA,NA,1865,1867,1
J Cudworth,NA,NA,1860,1863,1
Mary Cudworth,NA,NA,1861,1867,1
William Cudworth,NA,NA,1861,1867,1
Lucy Darby,NA,NA,1851,1855,1
Richard Day,NA,NA,1851,1851,1
William Dent,NA,NA,1851,1855,1
Barnard Dickinson,NA,NA,1851,1853,1
Elizabeth G Dimsdale,NA,NA,1867,1867,1
J Doubleday,NA,NA,1866,1866,1
R Doubleday,NA,NA,1866,1866,1
Joseph Eaton,NA,NA,1839,1858,1
Thomas Emmott,NA,NA,1866,1867,1
Mary Exton,NA,NA,1852,1860,1
William Exton,NA,NA,1851,1851,1
Abraham Fisher,NA,NA,1859,1865,1
Rachel Fowler,NA,NA,1851,1867,1
Thomas Fowler,NA,NA,1838,1851,1
Alfred L Fox,NA,NA,1867,1867,1
Francis E Fox,NA,NA,1838,1867,1
Frederick H Fox,NA,NA,1862,1867,1
J G Fox,NA,NA,1858,1858,1
R Barclay Fox,NA,NA,1851,1857,1
Philip Frith,NA,NA,1839,1840,1
Frederick Fryer,NA,NA,1861,1867,1
John Gayner,NA,NA,1865,1865,1
Deborah Gibson,NA,NA,1866,1866,1
E Gilkes,NA,NA,1861,1861,1
Charles Gillett,NA,NA,1860,1867,1
Jonathan Gillett,NA,NA,1860,1867,1
Burwood Godlee,NA,NA,1839,1867,1
Alexander Grace,NA,NA,1862,1867,1
Anna Gurney,NA,NA,1851,1857,1
Edmund Gurney,NA,NA,1851,1855,1
Henry E Gurney,NA,NA,1855,1866,1
John Gurney,NA,NA,1839,1855,1
Samuel Gurney,NA,NA,1838,1867,1
Daniel P Hack,NA,NA,1851,1867,1
John Barton Hack,NA,NA,1839,1851,1
Cornelius Hanbury,NA,NA,1838,1867,1
Cornelius x Jun Hanbury,NA,NA,1866,1867,1
Daniel Bell Hanbury,NA,NA,1851,1867,1
Samuel Hare,NA,NA,1861,1866,1
Charles L Harford,NA,NA,1838,1855,1
John Harford,NA,NA,1838,1851,1
Summers Harford,NA,NA,1838,1855,1
William Hargreaves,NA,NA,1860,1867,1
John Harlock,NA,NA,1860,1867,1
Theodore Harris,NA,NA,1862,1867,1
Gray Hester,NA,NA,1861,1867,1
M A Hewitson,NA,NA,1867,1867,1
Henry Hipsley,NA,NA,1862,1867,1
John Hodgkin,NA,NA,1851,1867,1
J Holdsworth,NA,NA,1860,1861,1
Richard Holdsworth,NA,NA,1864,1867,1
G B Holmes,NA,NA,1840,1840,1
S Horman-Fisher,NA,NA,1857,1857,1
Robert Horne,NA,NA,1860,1867,1
John Horniman,NA,NA,1860,1867,1
Charles Horsnaill,NA,NA,1860,1866,1
W C Horsnaill,NA,NA,1860,1861,1
Sarah Hotham,NA,NA,1860,1866,1
Luke Howard,NA,NA,1851,1852,1
William Howitt,NA,NA,1839,1851,1
Rachel Hubbert,NA,NA,1866,1866,1
Joseph Hudson,NA,NA,1861,1861,1
John Huntley,NA,NA,1864,1866,1
Joseph Huntley,NA,NA,1860,1867,1
Martha Hutchinson,NA,NA,1839,1840,1
R Impey,NA,NA,1861,1863,1
Edward James,NA,NA,1860,1867,1
A Janson,NA,NA,1861,1861,1
William Janson,NA,NA,1852,1867,1
Andrew Johnston,NA,NA,1838,1866,1
Andrew & Jun Johnston,NA,NA,1861,1862,1
John Jowett,NA,NA,1860,1867,1
W D King,NA,NA,1862,1865,1
J H Knight,NA,NA,1860,1861,1
T Knott,NA,NA,1860,1860,1
Edward A Leatham,NA,NA,1851,1867,1
Isabella Lister,NA,NA,1838,1840,1
Wilson Lloyd,NA,NA,1866,1867,1
Haggar Lowe,NA,NA,1838,1867,1
Edmund Lucas,NA,NA,1851,1864,1
Frederick Lucas,NA,NA,1839,1840,1
Jeffrey Lucas,NA,NA,1840,1854,1
Martha Lucas,NA,NA,1851,1855,1
Samuel Lucas,NA,NA,1851,1867,1
William Jun Lucas,NA,NA,1839,1860,1
Harford Lury,NA,NA,1860,1865,1
J E Lury,NA,NA,1853,1867,1
W Mann,NA,NA,1860,1860,1
Caroline Marriage,NA,NA,1860,1867,1
Edward Marsh,NA,NA,1857,1867,1
Thomas William Marsh,NA,NA,1860,1867,1
Thomas Maw,NA,NA,1839,1840,1
Edward C May,NA,NA,1839,1862,1
Francis May,NA,NA,1860,1865,1
John Mayfield,NA,NA,1847,1867,1
Josiah Merrick,NA,NA,1860,1867,1
John Morland,NA,NA,1839,1867,1
George L Neighbour,NA,NA,1847,1867,1
Josiah Newman,NA,NA,1867,1867,1
William Norris,NA,NA,1860,1867,1
Thomas Norton,NA,NA,1860,1867,1
William Norton,NA,NA,1861,1867,1
William Nutter,NA,NA,1860,1866,1
J J Packer,NA,NA,1861,1862,1
George Palmer,NA,NA,1860,1867,1
Reuben C Payne,NA,NA,1860,1867,1
Arthur Pease,NA,NA,1861,1866,1
Edward Pease,NA,NA,1838,1867,1
Gurney Pease,NA,NA,1865,1866,1
Henry Fell Pease,NA,NA,1851,1867,1
John Pease,NA,NA,1851,1867,1
John B Pease,NA,NA,1852,1867,1
Joseph Pease,NA,NA,1838,1866,1
Joseph Whitwell Pease,NA,NA,1866,1866,1
Susan Pease,NA,NA,1851,1851,1
Thomas Pease,NA,NA,1861,1867,1
Algernon Peckover,NA,NA,1851,1867,1
William Peckover,NA,NA,1866,1867,1
Robert H Penney,NA,NA,1866,1867,1
Isaac Pitt,NA,NA,1860,1867,1
Jacob Post,NA,NA,1839,1851,1
Joseph T Price,NA,NA,1838,1855,1
Lydia Prideaux,NA,NA,1860,1867,1
Samuel Priestman,NA,NA,1860,1865,1
John Pryor,NA,NA,1852,1852,1
G R Pumphrey,NA,NA,1862,1862,1
W P Read,NA,NA,1862,1862,1
Isaac Reckitt,NA,NA,1861,1861,1
Jonathan Rees,NA,NA,1851,1854,1
Jane Reynolds,NA,NA,1838,1855,1
G E Richardson,NA,NA,1860,1860,1
John Rickman,NA,NA,1839,1851,1
Josephina Rickman,NA,NA,1839,1851,1
Matilda Rickman,NA,NA,1851,1851,1
Priscilla Rickman,NA,NA,1840,1840,1
R Rickman,NA,NA,1838,1863,1
R P Rickman,NA,NA,1860,1865,1
Isaac Robson,NA,NA,1862,1867,1
J S Robson,NA,NA,1861,1867,1
Joseph Rosling,NA,NA,1860,1860,1
Samuel Rosling,NA,NA,1866,1867,1
John Rowntree,NA,NA,1855,1867,1
W Rowntree,NA,NA,1860,1860,1
Sarah Rundell,NA,NA,1851,1856,1
John F Rutter,NA,NA,1863,1867,1
Samuel Rutter,NA,NA,1862,1866,1
E Sayce,NA,NA,1860,1860,1
Hannah Scarr,NA,NA,1861,1866,1
F Seebohm,NA,NA,1861,1861,1
John R Seekings,NA,NA,1862,1866,1
James Sessions,NA,NA,1851,1859,1
Lydia Sessions,NA,NA,1865,1865,1
Robert Sessions,NA,NA,1861,1867,1
Abraham Sewell,NA,NA,1860,1866,1
E F Sewell,NA,NA,1860,1860,1
Joseph Sewell,NA,NA,1851,1851,1
Phillip Sewell,NA,NA,1851,1856,1
Joseph Sharples,NA,NA,1838,1867,1
John T Shewell,NA,NA,1852,1866,1
Thomas Short,NA,NA,1861,1867,1
W Dillwyn Sims,NA,NA,1851,1865,1
W Skinner,NA,NA,1861,1861,1
Bartholomew Smith,NA,NA,1861,1867,1
George Smithson,NA,NA,1865,1866,1
E P Southall,NA,NA,1838,1838,1
Sarah Southall,NA,NA,1864,1867,1
J M Sparkes,NA,NA,1861,1866,1
H Squire,NA,NA,1860,1860,1
John Stansfield,NA,NA,1860,1866,1
Joseph Sterry,NA,NA,1851,1867,1
Sarah Sterry,NA,NA,1860,1861,1
J L Stevens,NA,NA,1860,1865,1
Charles Sturge,NA,NA,1860,1862,1
Edmund Sturge,NA,NA,1860,1862,1
